"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","ANNAPOLIS POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2006-09-29 12:00:00,"State"
"MD","ANNAPOLIS POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1998-09-28 12:00:00,"State"
"MD","ANNAPOLIS POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2006-10-02 12:00:00,"State"
"MD","ANNAPOLIS POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2006-10-02 12:00:00,"State"
"MD","ANNAPOLIS POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2006-09-29 12:00:00,"State"
"MD","ANNAPOLIS POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2006-09-29 12:00:00,"State"
"MD","ANNAPOLIS POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2006-09-29 12:00:00,"State"
"MD","ANNAPOLIS POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2006-09-29 12:00:00,"State"
"MD","ANNAPOLIS POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2006-10-02 12:00:00,"State"
"MD","ANNAPOLIS POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2006-10-03 12:00:00,"State"
