"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,2000-07-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,2000-07-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,2000-07-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,2000-07-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,2000-07-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1998-09-28 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,2000-07-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,2000-07-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,2000-07-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,2000-07-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,2000-07-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,2000-07-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,2000-07-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,2000-07-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,2000-07-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,2000-07-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,2000-07-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-18 12:00:00,"State"
"MD","BALTIMORE CITY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-18 12:00:00,"State"
