"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","BOWIE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","BOWIE POLICE DEPT","2320-01-371-9584","TRUCK,UTILITY",1,"Each",62627,"C",1,2013-01-31 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2000-04-05 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2000-04-05 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2000-04-06 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2000-04-06 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1998-09-28 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","BOWIE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
