"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","CAMBRIDGE POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2003-04-15 12:00:00,"State"
"MD","CAMBRIDGE POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2003-04-15 12:00:00,"State"
"MD","CAMBRIDGE POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2003-04-15 12:00:00,"State"
"MD","CAMBRIDGE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-06-14 12:00:00,"State"
"MD","CAMBRIDGE POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2003-04-15 12:00:00,"State"
"MD","CAMBRIDGE POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2003-04-15 12:00:00,"State"
"MD","CAMBRIDGE POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2003-04-15 12:00:00,"State"
"MD","CAMBRIDGE POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2003-04-15 12:00:00,"State"
"MD","CAMBRIDGE POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2003-04-15 12:00:00,"State"
"MD","CAMBRIDGE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-06-14 12:00:00,"State"
"MD","CAMBRIDGE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-06-14 12:00:00,"State"
"MD","CAMBRIDGE POLICE DEPT","1005-DS-SWE-PASC","WEAPON ACCESSORIES",49,"Each",19,"D",NA,2011-10-16 12:00:00,"State"
"MD","CAMBRIDGE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-06-14 12:00:00,"State"
"MD","CAMBRIDGE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-06-14 12:00:00,"State"
"MD","CAMBRIDGE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-06-14 12:00:00,"State"
"MD","CAMBRIDGE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-06-14 12:00:00,"State"
"MD","CAMBRIDGE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-06-14 12:00:00,"State"
