"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","CENTREVILLE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-12-03 12:00:00,"State"
"MD","CENTREVILLE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-12-03 12:00:00,"State"
"MD","CENTREVILLE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-12-03 12:00:00,"State"
"MD","CENTREVILLE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-12-03 12:00:00,"State"
"MD","CENTREVILLE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-12-03 12:00:00,"State"
"MD","CENTREVILLE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-12-03 12:00:00,"State"
"MD","CENTREVILLE POLICE DEPT","2320-01-128-9552","TRUCK,UTILITY",1,"Each",49897,"C",1,2014-04-16 12:00:00,"State"
"MD","CENTREVILLE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-12-03 12:00:00,"State"
"MD","CENTREVILLE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-09-07 12:00:00,"State"
"MD","CENTREVILLE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-09-07 12:00:00,"State"
"MD","CENTREVILLE POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2003-10-30 12:00:00,"State"
"MD","CENTREVILLE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","CENTREVILLE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","CENTREVILLE POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2003-10-30 12:00:00,"State"
"MD","CENTREVILLE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2003-10-14 12:00:00,"State"
