"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","COLMAR MANOR POLICE DEPARTMENT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","COLMAR MANOR POLICE DEPARTMENT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","COLMAR MANOR POLICE DEPARTMENT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","COLMAR MANOR POLICE DEPARTMENT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","COLMAR MANOR POLICE DEPARTMENT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","COLMAR MANOR POLICE DEPARTMENT","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","COLMAR MANOR POLICE DEPARTMENT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2004-03-15 12:00:00,"State"
"MD","COLMAR MANOR POLICE DEPARTMENT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2006-02-10 12:00:00,"State"
"MD","COLMAR MANOR POLICE DEPARTMENT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2003-08-05 12:00:00,"State"
"MD","COLMAR MANOR POLICE DEPARTMENT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2006-02-10 12:00:00,"State"
