"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","DENTON POLICE DEPT","1005-00-726-5655","PISTOL,CALIBER .45,AUTOMATIC",1,"Each",58.71,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-726-5655","PISTOL,CALIBER .45,AUTOMATIC",1,"Each",58.71,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-726-5655","PISTOL,CALIBER .45,AUTOMATIC",1,"Each",58.71,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-726-5655","PISTOL,CALIBER .45,AUTOMATIC",1,"Each",58.71,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-03-25 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-726-5655","PISTOL,CALIBER .45,AUTOMATIC",1,"Each",58.71,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-726-5655","PISTOL,CALIBER .45,AUTOMATIC",1,"Each",58.71,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-726-5655","PISTOL,CALIBER .45,AUTOMATIC",1,"Each",58.71,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-03-25 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-726-5655","PISTOL,CALIBER .45,AUTOMATIC",1,"Each",58.71,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1997-04-21 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2001-06-15 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-726-5655","PISTOL,CALIBER .45,AUTOMATIC",1,"Each",58.71,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","2320-01-346-9317","TRUCK,UTILITY",1,"Each",94171,"C",1,2012-04-13 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-726-5655","PISTOL,CALIBER .45,AUTOMATIC",1,"Each",58.71,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-726-5655","PISTOL,CALIBER .45,AUTOMATIC",1,"Each",58.71,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-726-5655","PISTOL,CALIBER .45,AUTOMATIC",1,"Each",58.71,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-726-5655","PISTOL,CALIBER .45,AUTOMATIC",1,"Each",58.71,"D",1,2012-01-31 12:00:00,"State"
"MD","DENTON POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-01-31 12:00:00,"State"
