"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-29 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2003-10-14 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2003-10-14 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-09-07 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-09-07 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-09-07 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-09-07 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-09-07 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-09-07 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2003-10-14 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2003-10-14 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-09-07 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2003-10-14 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-09-07 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-09-07 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-09-07 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2003-10-14 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2003-10-14 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2003-10-14 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-01-471-5456","BARREL,CARBINE",16,"Each",134.71,"D",1,2014-06-03 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-992-7307","TRIGGER",10,"Each",18.39,"D",1,2014-06-03 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-01-442-0160","FORWARD ASSIST ASSEMBLY",10,"Each",162,"D",1,2014-06-03 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-087-8998","RING,SLIP,HAND GUARD",5,"Each",4.9,"D",1,2014-06-03 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-01-233-8529","BARREL AND FRONT SIGHT ASSEMBLY",30,"Each",117,"D",1,2014-06-11 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-017-9547","PIN,FIRING",8,"Each",4.84,"D",1,2014-06-03 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-29 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-29 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-29 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-29 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-29 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-29 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-29 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-29 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-29 12:00:00,"State"
"MD","HARFORD COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-29 12:00:00,"State"
