"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","OCEAN CITY POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2011-10-06 12:00:00,"State"
"MD","OCEAN CITY POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2011-10-06 12:00:00,"State"
"MD","OCEAN CITY POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2011-10-06 12:00:00,"State"
"MD","OCEAN CITY POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2011-10-06 12:00:00,"State"
"MD","OCEAN CITY POLICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","OCEAN CITY POLICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","OCEAN CITY POLICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","OCEAN CITY POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2011-10-06 12:00:00,"State"
"MD","OCEAN CITY POLICE","2320-01-074-7642","TRUCK,ARMORED",1,"Each",65070,"C",1,2005-07-21 12:00:00,"State"
"MD","OCEAN CITY POLICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","OCEAN CITY POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2011-10-06 12:00:00,"State"
"MD","OCEAN CITY POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2011-10-06 12:00:00,"State"
"MD","OCEAN CITY POLICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","OCEAN CITY POLICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","OCEAN CITY POLICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","OCEAN CITY POLICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","OCEAN CITY POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2011-10-06 12:00:00,"State"
"MD","OCEAN CITY POLICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","OCEAN CITY POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2011-10-06 12:00:00,"State"
"MD","OCEAN CITY POLICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
