"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-29 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-29 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-29 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-29 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-29 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-29 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-29 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-29 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-29 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-29 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-29 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-29 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-29 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-29 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-29 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","2320-01-074-7642","TRUCK,ARMORED",1,"Each",65070,"C",1,2005-11-02 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","POCOMOKE CITY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
