"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","PRINCE GEORGE'S CTY SHERIFF OFFICE","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","PRINCE GEORGE'S CTY SHERIFF OFFICE","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","PRINCE GEORGE'S CTY SHERIFF OFFICE","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","PRINCE GEORGE'S CTY SHERIFF OFFICE","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","PRINCE GEORGE'S CTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1996-06-26 12:00:00,"State"
"MD","PRINCE GEORGE'S CTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1996-06-26 12:00:00,"State"
"MD","PRINCE GEORGE'S CTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1996-06-26 12:00:00,"State"
"MD","PRINCE GEORGE'S CTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1996-06-26 12:00:00,"State"
"MD","PRINCE GEORGE'S CTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1996-06-26 12:00:00,"State"
"MD","PRINCE GEORGE'S CTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1996-06-26 12:00:00,"State"
"MD","PRINCE GEORGE'S CTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1996-06-26 12:00:00,"State"
"MD","PRINCE GEORGE'S CTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1996-06-26 12:00:00,"State"
"MD","PRINCE GEORGE'S CTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1996-06-26 12:00:00,"State"
"MD","PRINCE GEORGE'S CTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1996-06-26 12:00:00,"State"
"MD","PRINCE GEORGE'S CTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1996-06-26 12:00:00,"State"
"MD","PRINCE GEORGE'S CTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1996-06-26 12:00:00,"State"
