"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","2320-01-128-9551","TRUCK,UTILITY",1,"Each",50458,"C",1,2012-01-06 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2008-02-25 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","2320-01-346-9317","TRUCK,UTILITY",1,"Each",94171,"C",1,2013-02-12 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2008-01-22 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2008-01-22 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2008-02-25 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-24 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-24 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-24 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-24 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-24 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-24 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-24 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-24 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-24 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-24 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-24 12:00:00,"State"
"MD","PRINCESS ANNE POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-24 12:00:00,"State"
