"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1997-04-21 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","2355-01-555-0908","MINE RESISTANT VEHICLE",1,"Each",412000,"C",1,2013-10-17 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-02-12 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
