"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","SAINT MICHAELS POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2005-02-18 12:00:00,"State"
"MD","SAINT MICHAELS POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2005-02-18 12:00:00,"State"
"MD","SAINT MICHAELS POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","SAINT MICHAELS POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-25 12:00:00,"State"
"MD","SAINT MICHAELS POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-25 12:00:00,"State"
"MD","SAINT MICHAELS POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-25 12:00:00,"State"
"MD","SAINT MICHAELS POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-25 12:00:00,"State"
"MD","SAINT MICHAELS POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-25 12:00:00,"State"
"MD","SAINT MICHAELS POLICE DEPT","1005-01-128-9936","RIFLE,5.56 MILLIMETER",1,"Each",749,"D",1,2014-09-25 12:00:00,"State"
"MD","SAINT MICHAELS POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","SAINT MICHAELS POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","SAINT MICHAELS POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","SAINT MICHAELS POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","SAINT MICHAELS POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","SAINT MICHAELS POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","SAINT MICHAELS POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","SAINT MICHAELS POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","SAINT MICHAELS POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
