"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","SALISBURY POLICE DEPT","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","SALISBURY POLICE DEPT","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","SALISBURY POLICE DEPT","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","SALISBURY POLICE DEPT","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","SALISBURY POLICE DEPT","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","SALISBURY POLICE DEPT","2320-01-074-7642","TRUCK,ARMORED",1,"Each",65070,"C",1,2013-03-12 12:00:00,"State"
"MD","SALISBURY POLICE DEPT","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","SALISBURY POLICE DEPT","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","SALISBURY POLICE DEPT","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","SALISBURY POLICE DEPT","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
"MD","SALISBURY POLICE DEPT","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
