"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","SNOW HILL POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","SNOW HILL POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2008-01-22 12:00:00,"State"
"MD","SNOW HILL POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","SNOW HILL POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","SNOW HILL POLICE DEPT","1005-00-726-5655","PISTOL,CALIBER .45,AUTOMATIC",1,"Each",58.71,"D",1,2000-04-05 12:00:00,"State"
"MD","SNOW HILL POLICE DEPT","1005-00-726-5655","PISTOL,CALIBER .45,AUTOMATIC",1,"Each",58.71,"D",1,2000-04-05 12:00:00,"State"
"MD","SNOW HILL POLICE DEPT","1005-00-726-5655","PISTOL,CALIBER .45,AUTOMATIC",1,"Each",58.71,"D",1,2000-04-05 12:00:00,"State"
"MD","SNOW HILL POLICE DEPT","1005-00-726-5655","PISTOL,CALIBER .45,AUTOMATIC",1,"Each",58.71,"D",1,2000-04-05 12:00:00,"State"
"MD","SNOW HILL POLICE DEPT","1005-00-726-5655","PISTOL,CALIBER .45,AUTOMATIC",1,"Each",58.71,"D",1,2000-04-05 12:00:00,"State"
"MD","SNOW HILL POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","SNOW HILL POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","SNOW HILL POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","SNOW HILL POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","SNOW HILL POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2008-01-22 12:00:00,"State"
"MD","SNOW HILL POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1994-11-28 12:00:00,"State"
"MD","SNOW HILL POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2008-01-22 12:00:00,"State"
"MD","SNOW HILL POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2008-01-22 12:00:00,"State"
"MD","SNOW HILL POLICE DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2008-01-22 12:00:00,"State"
"MD","SNOW HILL POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
