"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","STATE POLICE","2320-01-128-9551","TRUCK,UTILITY",1,"Each",50458,"C",1,2014-02-25 12:00:00,"State"
"MD","STATE POLICE","2320-01-128-9551","TRUCK,UTILITY",1,"Each",50458,"C",1,2014-02-25 12:00:00,"State"
"MD","STATE POLICE","2320-01-128-9551","TRUCK,UTILITY",1,"Each",50458,"C",1,2014-04-03 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1994-10-31 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1994-10-31 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1998-09-16 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1998-09-16 12:00:00,"State"
"MD","STATE POLICE","2320-01-346-9317","TRUCK,UTILITY",1,"Each",94171,"C",1,2005-11-14 12:00:00,"State"
"MD","STATE POLICE","2320-01-380-8604","TRUCK,UTILITY",1,"Each",89900,"C",1,2005-11-14 12:00:00,"State"
"MD","STATE POLICE","2320-01-346-9317","TRUCK,UTILITY",1,"Each",94171,"C",1,2013-02-22 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1994-10-31 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1998-09-16 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1994-10-31 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1998-09-16 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1994-10-31 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1998-09-17 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1998-09-17 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1994-10-31 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1994-10-31 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1994-10-31 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1998-10-09 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1994-10-31 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1994-10-31 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1998-10-09 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1994-10-31 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2004-03-15 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2004-03-15 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1998-09-16 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1998-09-17 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1998-09-16 12:00:00,"State"
"MD","STATE POLICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1999-01-12 12:00:00,"State"
