"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","WORCESTER COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2008-01-22 12:00:00,"State"
"MD","WORCESTER COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2008-01-22 12:00:00,"State"
"MD","WORCESTER COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2008-01-22 12:00:00,"State"
"MD","WORCESTER COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2008-01-22 12:00:00,"State"
"MD","WORCESTER COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2008-01-22 12:00:00,"State"
"MD","WORCESTER COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2008-01-22 12:00:00,"State"
"MD","WORCESTER COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1994-11-28 12:00:00,"State"
"MD","WORCESTER COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2008-01-22 12:00:00,"State"
"MD","WORCESTER COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2008-01-22 12:00:00,"State"
"MD","WORCESTER COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2008-01-22 12:00:00,"State"
"MD","WORCESTER COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2008-01-22 12:00:00,"State"
"MD","WORCESTER COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2008-01-22 12:00:00,"State"
"MD","WORCESTER COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2008-01-22 12:00:00,"State"
