agency_name,Latitude,Longitude,total_items,total_acquisition_value,most_acquired_item,first_acquisition,last_acquisition,slug,test,data_wrapper,first_acquisition_date,last_acquisition_date
ALLEGANY COUNTY SHERIFF DEPT,39.6439618,-78.7795552,6,6535,"FIRING DEVICE,NON-LETHAL",2014-11-05T12:00:00Z,2015-04-29T12:00:00Z,allegany_county_sheriff_dept,"$6,535","Allegany County Sheriff Dept- Total Acquisition Value:$6,535",2014-11-05,2015-04-29
ANNAPOLIS POLICE DEPT,38.979072,-76.5064138,13,4906,"RIFLE,5.56 MILLIMETER",1998-09-28T12:00:00Z,2014-03-24T12:00:00Z,annapolis_police_dept,"$4,906","Annapolis Police Dept- Total Acquisition Value:$4,906",1998-09-28,2014-03-24
ANNE ARUNDEL COMM COLLEGE PD HI_ED,39.05013,-76.5139672,9,2880,"PISTOL, 40CAL, GLOCK GEN 3",2013-09-19T12:00:00Z,2013-09-19T12:00:00Z,anne_arundel_comm_college_pd_hi_ed,"$2,880","Anne Arundel Comm College Pd Hi_ed- Total Acquisition Value:$2,880",2013-09-19,2013-09-19
ANNE ARUNDEL COUNTY POLICE DEPT,39.0993048,-76.6255012,694,198964.4,"SIGHT,REFLEX",2003-06-25T12:00:00Z,2021-02-17T12:00:00Z,anne_arundel_county_police_dept,"$198,964","Anne Arundel County Police Dept- Total Acquisition Value:$198,964",2003-06-25,2021-02-17
BALTIMORE CITY SHERIFF OFFICE,39.290816,-76.613234,74,21212,"SHOTGUN,12 GAGE,RIOT TYPE",1998-09-28T12:00:00Z,2014-03-24T12:00:00Z,baltimore_city_sheriff_office,"$21,212","Baltimore City Sheriff Office- Total Acquisition Value:$21,212",1998-09-28,2014-03-24
BERLIN POLICE DEPT,43.968452,-88.9494765,679,112570.75,"SHOTGUN,12 GAGE,RIOT TYPE",1999-01-28T12:00:00Z,2021-02-17T12:00:00Z,berlin_police_dept,"$112,571","Berlin Police Dept- Total Acquisition Value:$112,571",1999-01-28,2021-02-17
BERWYN HEIGHTS POLICE DEPT,38.9934538,-76.9214544,25,7760,"PISTOL, 40CAL, GLOCK GEN 3",1999-01-28T12:00:00Z,2014-03-24T12:00:00Z,berwyn_heights_police_dept,"$7,760","Berwyn Heights Police Dept- Total Acquisition Value:$7,760",1999-01-28,2014-03-24
BLADENSBURG POLICE DEPARTMENT,38.9423122,-76.9328418,29,236344.76,"SIGHT,NIGHT VISION SNIPERSCOPE",2012-11-14T12:00:00Z,2018-06-14T12:00:00Z,bladensburg_police_department,"$236,345","Bladensburg Police Department- Total Acquisition Value:$236,345",2012-11-14,2018-06-14
BOWIE POLICE DEPT,33.5597994,-97.8467944,38,82226,"RIFLE,5.56 MILLIMETER",1998-09-28T12:00:00Z,2015-03-30T12:00:00Z,bowie_police_dept,"$82,226","Bowie Police Dept- Total Acquisition Value:$82,226",1998-09-28,2015-03-30
CAMBRIDGE POLICE DEPT,45.5749125,-93.2208203,93,16305,"SIGHT,REFLEX",2003-04-15T12:00:00Z,2015-03-30T12:00:00Z,cambridge_police_dept,"$16,305","Cambridge Police Dept- Total Acquisition Value:$16,305",2003-04-15,2015-03-30
