state,agency_name,nsn,item_name,quantity,ui,acquisition_value,demil_code,demil_ic,ship_date,station_type,slug
MD,ALLEGANY COUNTY SHERIFF DEPT,1095-01-526-7860,"FIRING DEVICE,NON-LETHAL",5,Each,1287,D,1,2015-04-29T12:00:00Z,State,allegany_county_sheriff_dept
MD,ALLEGANY COUNTY SHERIFF DEPT,6650-DS-OPT-ICIN,OPTICAL INSTRUMENTS,1,Each,100,D,NA,2014-11-05T12:00:00Z,State,allegany_county_sheriff_dept
MD,ANNAPOLIS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2006-09-29T12:00:00Z,State,annapolis_police_dept
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-09-28T12:00:00Z,State,annapolis_police_dept
MD,ANNAPOLIS POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",3,Each,333,D,1,2014-03-24T12:00:00Z,State,annapolis_police_dept
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2006-10-02T12:00:00Z,State,annapolis_police_dept
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2006-10-02T12:00:00Z,State,annapolis_police_dept
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2006-09-29T12:00:00Z,State,annapolis_police_dept
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2006-09-29T12:00:00Z,State,annapolis_police_dept
MD,ANNAPOLIS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2006-09-29T12:00:00Z,State,annapolis_police_dept
MD,ANNAPOLIS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2006-09-29T12:00:00Z,State,annapolis_police_dept
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2006-10-02T12:00:00Z,State,annapolis_police_dept
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2006-10-03T12:00:00Z,State,annapolis_police_dept
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,NA,2013-09-19T12:00:00Z,State,anne_arundel_comm_college_pd_hi_ed
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,NA,2013-09-19T12:00:00Z,State,anne_arundel_comm_college_pd_hi_ed
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,NA,2013-09-19T12:00:00Z,State,anne_arundel_comm_college_pd_hi_ed
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,NA,2013-09-19T12:00:00Z,State,anne_arundel_comm_college_pd_hi_ed
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,NA,2013-09-19T12:00:00Z,State,anne_arundel_comm_college_pd_hi_ed
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,NA,2013-09-19T12:00:00Z,State,anne_arundel_comm_college_pd_hi_ed
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,NA,2013-09-19T12:00:00Z,State,anne_arundel_comm_college_pd_hi_ed
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,NA,2013-09-19T12:00:00Z,State,anne_arundel_comm_college_pd_hi_ed
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,NA,2013-09-19T12:00:00Z,State,anne_arundel_comm_college_pd_hi_ed
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,333,D,1,2014-02-04T12:00:00Z,State,anne_arundel_county_police_dept
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,333,D,1,2014-02-04T12:00:00Z,State,anne_arundel_county_police_dept
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,333,D,1,2014-02-04T12:00:00Z,State,anne_arundel_county_police_dept
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,333,D,1,2014-02-04T12:00:00Z,State,anne_arundel_county_police_dept
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,333,D,1,2014-02-04T12:00:00Z,State,anne_arundel_county_police_dept
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,333,D,1,2014-02-04T12:00:00Z,State,anne_arundel_county_police_dept
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,333,D,1,2014-02-04T12:00:00Z,State,anne_arundel_county_police_dept
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,333,D,1,2014-02-04T12:00:00Z,State,anne_arundel_county_police_dept
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,333,D,1,2014-02-04T12:00:00Z,State,anne_arundel_county_police_dept
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,333,D,1,2014-02-04T12:00:00Z,State,anne_arundel_county_police_dept
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,333,D,1,2014-02-04T12:00:00Z,State,anne_arundel_county_police_dept
MD,ANNE ARUNDEL COUNTY POLICE DEPT,8520-DS-HND-SNPR,"SANITIZER, HAND (PERSONAL SIZE)",1,Each,6.24,A,NA,2021-02-17T12:00:00Z,State,anne_arundel_county_police_dept
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",2,Each,333,D,1,2014-03-24T12:00:00Z,State,anne_arundel_county_police_dept
