agency_name,total_items,total_acquisition_value,most_acquired_item,first_acquisition,last_acquisition,agency_name_2
WICOMICO COUNTY SHERIFF OFFICE,54,983740.5,"RIFLE,5.56 MILLIMETER",1994-10-31T12:00:00Z,2018-12-04T12:00:00Z,"WICOMICO COUNTY SHERIFF OFFICE, Maryland"
CUMBERLAND POLICE DEPT,3,865276,"RIFLE,7.62 MILLIMETER",2004-03-15T12:00:00Z,2016-10-12T12:00:00Z,"CUMBERLAND POLICE DEPT, Maryland"
MONTGOMERY COUNTY POLICE DEPT,1,733000,MINE RESISTANT VEHICLE,2014-04-21T12:00:00Z,2014-04-21T12:00:00Z,"MONTGOMERY COUNTY POLICE DEPT, Maryland"
DORCHESTER COUNTY SHERIFF'S OFFICE,22,619393,"RIFLE,5.56 MILLIMETER",1997-04-21T12:00:00Z,2019-04-25T12:00:00Z,"DORCHESTER COUNTY SHERIFF'S OFFICE, Maryland"
STATE POLICE,1490,539327.8,"SIGHT,REFLEX",1994-10-31T12:00:00Z,2021-02-17T12:00:00Z,"STATE POLICE, Maryland"
QUEEN ANNES COUNTY SHERIFFS OFFICE,134,534388.24,"RIFLE,5.56 MILLIMETER",1997-04-21T12:00:00Z,2016-12-19T12:00:00Z,"QUEEN ANNES COUNTY SHERIFFS OFFICE, Maryland"
"NATURAL RESOURCES POLICE DNR",838,518943.95,"DUCT,AIR OUTLET",2009-07-17T12:00:00Z,2021-02-17T12:00:00Z,"NATURAL RESOURCES POLICE DNR, Maryland"
GREENBELT POLICE DEPT,1,460000,ONLY COMPLETE COMBAT/ASSAULT/TACTICAL WHEELED VEHICLES,2000-03-28T12:00:00Z,2000-03-28T12:00:00Z,"GREENBELT POLICE DEPT, Maryland"
BLADENSBURG POLICE DEPARTMENT,29,236344.76,"SIGHT,NIGHT VISION SNIPERSCOPE",2012-11-14T12:00:00Z,2018-06-14T12:00:00Z,"BLADENSBURG POLICE DEPARTMENT, Maryland"
CHARLES COUNTY SHERIFFS  OFFICE,211,223107.72,"RIFLE,5.56 MILLIMETER",1998-09-28T12:00:00Z,2015-03-30T12:00:00Z,"CHARLES COUNTY SHERIFFS  OFFICE, Maryland"
