agency_name,total_items,total_acquisition_value,most_acquired_item,first_acquisition,last_acquisition,agency_name_2,slug_name,slug
ALLEGANY COUNTY SHERIFF DEPT,6,6535,"FIRING DEVICE,NON-LETHAL",2014-11-05T12:00:00Z,2015-04-29T12:00:00Z,"ALLEGANY COUNTY SHERIFF DEPT, Maryland",_,allegany_county_sheriff_dept
ANNAPOLIS POLICE DEPT,13,4906,"RIFLE,5.56 MILLIMETER",1998-09-28T12:00:00Z,2014-03-24T12:00:00Z,"ANNAPOLIS POLICE DEPT, Maryland",_,annapolis_police_dept
ANNE ARUNDEL COMM COLLEGE PD HI_ED,9,2880,"PISTOL, 40CAL, GLOCK GEN 3",2013-09-19T12:00:00Z,2013-09-19T12:00:00Z,"ANNE ARUNDEL COMM COLLEGE PD HI_ED, Maryland",_,anne_arundel_comm_college_pd_hi_ed
ANNE ARUNDEL COUNTY POLICE DEPT,694,198964.4,"SIGHT,REFLEX",2003-06-25T12:00:00Z,2021-02-17T12:00:00Z,"ANNE ARUNDEL COUNTY POLICE DEPT, Maryland",_,anne_arundel_county_police_dept
BALTIMORE CITY SHERIFF OFFICE,74,21212,"SHOTGUN,12 GAGE,RIOT TYPE",1998-09-28T12:00:00Z,2014-03-24T12:00:00Z,"BALTIMORE CITY SHERIFF OFFICE, Maryland",_,baltimore_city_sheriff_office
BERLIN POLICE DEPT,679,112570.75,"SHOTGUN,12 GAGE,RIOT TYPE",1999-01-28T12:00:00Z,2021-02-17T12:00:00Z,"BERLIN POLICE DEPT, Maryland",_,berlin_police_dept
BERWYN HEIGHTS POLICE DEPT,25,7760,"PISTOL, 40CAL, GLOCK GEN 3",1999-01-28T12:00:00Z,2014-03-24T12:00:00Z,"BERWYN HEIGHTS POLICE DEPT, Maryland",_,berwyn_heights_police_dept
BLADENSBURG POLICE DEPARTMENT,29,236344.76,"SIGHT,NIGHT VISION SNIPERSCOPE",2012-11-14T12:00:00Z,2018-06-14T12:00:00Z,"BLADENSBURG POLICE DEPARTMENT, Maryland",_,bladensburg_police_department
BOWIE POLICE DEPT,38,82226,"RIFLE,5.56 MILLIMETER",1998-09-28T12:00:00Z,2015-03-30T12:00:00Z,"BOWIE POLICE DEPT, Maryland",_,bowie_police_dept
CAMBRIDGE POLICE DEPT,93,16305,"SIGHT,REFLEX",2003-04-15T12:00:00Z,2015-03-30T12:00:00Z,"CAMBRIDGE POLICE DEPT, Maryland",_,cambridge_police_dept
CAPITOL HEIGHTS POLICE DEPT,1,49897,"TRUCK,UTILITY",2014-04-09T12:00:00Z,2014-04-09T12:00:00Z,"CAPITOL HEIGHTS POLICE DEPT, Maryland",_,capitol_heights_police_dept
CAROLINE COUNTY SHERIFF DEPT,6,2994,"RIFLE,5.56 MILLIMETER",2002-10-21T12:00:00Z,2002-10-21T12:00:00Z,"CAROLINE COUNTY SHERIFF DEPT, Maryland",_,caroline_county_sheriff_dept
